popup_id	category_raw	category_code	priority_rank	ladder_label	note
PU1233	2	2	7	Cat. 2  and Cat. VR	
PU1234	2	2	7	Cat. 2  and Cat. VR	
PU1235	2	2	7	Cat. 2  and Cat. VR	
PU1240	Custom	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU1244	2	2	7	Cat. 2  and Cat. VR	
PU1246	2	2	7	Cat. 2  and Cat. VR	
PU1257	2	2	7	Cat. 2  and Cat. VR	
PU1258	2	2	7	Cat. 2  and Cat. VR	
PU1259	2	2	7	Cat. 2  and Cat. VR	
PU1264	2	2	7	Cat. 2  and Cat. VR	
PU1265	2	2	7	Cat. 2  and Cat. VR	
PU1266	2	2	7	Cat. 2  and Cat. VR	
PU1267	2	2	7	Cat. 2  and Cat. VR	
PU1268	2	2	7	Cat. 2  and Cat. VR	
PU1269	2	2	7	Cat. 2  and Cat. VR	
PU1270	Custom	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU1271	RVC	RVC	1	RVC	
PU1272	RVC	RVC	1	RVC	
PU1273	RVC	RVC	1	RVC	
PU1274	2	2	7	Cat. 2  and Cat. VR	
PU1275	2	2	7	Cat. 2  and Cat. VR	
PU1276	2	2	7	Cat. 2  and Cat. VR	
PU1277	2	2	7	Cat. 2  and Cat. VR	
PU1278	2	2	7	Cat. 2  and Cat. VR	
PU1279	2	2	7	Cat. 2  and Cat. VR	
PU1280	2	2	7	Cat. 2  and Cat. VR	
PU1281	2	2	7	Cat. 2  and Cat. VR	
PU1282	2	2	7	Cat. 2  and Cat. VR	
PU1283	2	2	7	Cat. 2  and Cat. VR	
PU1284	2	2	7	Cat. 2  and Cat. VR	
PU1285	2	2	7	Cat. 2  and Cat. VR	
PU1287	2	2	7	Cat. 2  and Cat. VR	
PU1288	2	2	7	Cat. 2  and Cat. VR	
PU1289	2	2	7	Cat. 2  and Cat. VR	
PU1290	2	2	7	Cat. 2  and Cat. VR	
PU1291	2	2	7	Cat. 2  and Cat. VR	
PU1292	2	2	7	Cat. 2  and Cat. VR	
PU1293	2	2	7	Cat. 2  and Cat. VR	
PU1294	2	2	7	Cat. 2  and Cat. VR	
PU1295	2	2	7	Cat. 2  and Cat. VR	
PU1296	2	2	7	Cat. 2  and Cat. VR	
PU1297	2	2	7	Cat. 2  and Cat. VR	
PU1298	2	2	7	Cat. 2  and Cat. VR	
PU1299	2	2	7	Cat. 2  and Cat. VR	
PU1300	2	2	7	Cat. 2  and Cat. VR	
PU1301	2	2	7	Cat. 2  and Cat. VR	
PU1302	2	2	7	Cat. 2  and Cat. VR	
PU1303	2	2	7	Cat. 2  and Cat. VR	
PU1304	2	2	7	Cat. 2  and Cat. VR	
PU1307	2	2	7	Cat. 2  and Cat. VR	
PU1308	2	2	7	Cat. 2  and Cat. VR	
PU1309	2	2	7	Cat. 2  and Cat. VR	
PU1310	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1311	2	2	7	Cat. 2  and Cat. VR	
PU1312	2	2	7	Cat. 2  and Cat. VR	
PU1313	2	2	7	Cat. 2  and Cat. VR	
PU1314	2	2	7	Cat. 2  and Cat. VR	
PU1315	2	2	7	Cat. 2  and Cat. VR	
PU1316	2	2	7	Cat. 2  and Cat. VR	
PU1317	2	2	7	Cat. 2  and Cat. VR	
PU1318	2	2	7	Cat. 2  and Cat. VR	
PU1319	2	2	7	Cat. 2  and Cat. VR	
PU1320	2	2	7	Cat. 2  and Cat. VR	
PU1321	2	2	7	Cat. 2  and Cat. VR	
PU1322	2	2	7	Cat. 2  and Cat. VR	
PU1323	2	2	7	Cat. 2  and Cat. VR	
PU1324	2	2	7	Cat. 2  and Cat. VR	
PU1325	2	2	7	Cat. 2  and Cat. VR	
PU1326	2	2	7	Cat. 2  and Cat. VR	
PU1327	2	2	7	Cat. 2  and Cat. VR	
PU1328	2	2	7	Cat. 2  and Cat. VR	
PU1329	2	2	7	Cat. 2  and Cat. VR	
PU1330	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1331	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1332	2	2	7	Cat. 2  and Cat. VR	
PU1338	2	2	7	Cat. 2  and Cat. VR	
PU1339	2	2	7	Cat. 2  and Cat. VR	
PU1340	2	2	7	Cat. 2  and Cat. VR	
PU1341	2	2	7	Cat. 2  and Cat. VR	
PU1342	2	2	7	Cat. 2  and Cat. VR	
PU1343	2	2	7	Cat. 2  and Cat. VR	
PU1344	2	2	7	Cat. 2  and Cat. VR	
PU1345	2	2	7	Cat. 2  and Cat. VR	
PU1346	2	2	7	Cat. 2  and Cat. VR	
PU1347	2	2	7	Cat. 2  and Cat. VR	
PU1348	2	2	7	Cat. 2  and Cat. VR	
PU1349	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1350	2	2	7	Cat. 2  and Cat. VR	
PU1351	2	2	7	Cat. 2  and Cat. VR	
PU1352	2	2	7	Cat. 2  and Cat. VR	
PU1353	2	2	7	Cat. 2  and Cat. VR	
PU1354	2	2	7	Cat. 2  and Cat. VR	
PU1355	2	2	7	Cat. 2  and Cat. VR	
PU1356	2	2	7	Cat. 2  and Cat. VR	
PU1357	2	2	7	Cat. 2  and Cat. VR	
PU1358	2	2	7	Cat. 2  and Cat. VR	
PU1359	2	2	7	Cat. 2  and Cat. VR	
PU1360	2	2	7	Cat. 2  and Cat. VR	
PU1361	2	2	7	Cat. 2  and Cat. VR	
PU1362	2	2	7	Cat. 2  and Cat. VR	
PU1363	2	2	7	Cat. 2  and Cat. VR	
PU1364	2	2	7	Cat. 2  and Cat. VR	
PU1365	2	2	7	Cat. 2  and Cat. VR	
PU1366	2	2	7	Cat. 2  and Cat. VR	
PU1367	2	2	7	Cat. 2  and Cat. VR	
PU1368	2	2	7	Cat. 2  and Cat. VR	
PU1369	2	2	7	Cat. 2  and Cat. VR	
PU1370	2	2	7	Cat. 2  and Cat. VR	
PU1371	2	2	7	Cat. 2  and Cat. VR	
PU1372	2	2	7	Cat. 2  and Cat. VR	
PU1373	2	2	7	Cat. 2  and Cat. VR	
PU1374	2	2	7	Cat. 2  and Cat. VR	
PU1375	2	2	7	Cat. 2  and Cat. VR	
PU1376	2	2	7	Cat. 2  and Cat. VR	
PU1377	2	2	7	Cat. 2  and Cat. VR	
PU1378	2	2	7	Cat. 2  and Cat. VR	
PU1379	2	2	7	Cat. 2  and Cat. VR	
PU1380	2	2	7	Cat. 2  and Cat. VR	
PU1381	2	2	7	Cat. 2  and Cat. VR	
PU1382	2	2	7	Cat. 2  and Cat. VR	
PU1383	2	2	7	Cat. 2  and Cat. VR	
PU1384	2	2	7	Cat. 2  and Cat. VR	
PU1385	2	2	7	Cat. 2  and Cat. VR	
PU1386	2	2	7	Cat. 2  and Cat. VR	
PU1387	2	2	7	Cat. 2  and Cat. VR	
PU1388	2	2	7	Cat. 2  and Cat. VR	
PU1389	2	2	7	Cat. 2  and Cat. VR	
PU1391	2	2	7	Cat. 2  and Cat. VR	
PU1392	2	2	7	Cat. 2  and Cat. VR	
PU1393	2	2	7	Cat. 2  and Cat. VR	
PU1394	2	2	7	Cat. 2  and Cat. VR	
PU1395	2	2	7	Cat. 2  and Cat. VR	
PU1396	2	2	7	Cat. 2  and Cat. VR	
PU1397	2	2	7	Cat. 2  and Cat. VR	
PU1398	2	2	7	Cat. 2  and Cat. VR	
PU1399	2	2	7	Cat. 2  and Cat. VR	
PU1400	2	2	7	Cat. 2  and Cat. VR	
PU1401	2	2	7	Cat. 2  and Cat. VR	
PU1402	2	2	7	Cat. 2  and Cat. VR	
PU1403	2	2	7	Cat. 2  and Cat. VR	
PU1404	2	2	7	Cat. 2  and Cat. VR	
PU1405	2	2	7	Cat. 2  and Cat. VR	
PU1406	2	2	7	Cat. 2  and Cat. VR	
PU1407	2	2	7	Cat. 2  and Cat. VR	
PU1408	2	2	7	Cat. 2  and Cat. VR	
PU1409	2	2	7	Cat. 2  and Cat. VR	
PU1410	2	2	7	Cat. 2  and Cat. VR	
PU1411	2	2	7	Cat. 2  and Cat. VR	
PU1412	2	2	7	Cat. 2  and Cat. VR	
PU1413	2	2	7	Cat. 2  and Cat. VR	
PU1414	2	2	7	Cat. 2  and Cat. VR	
PU1415	2	2	7	Cat. 2  and Cat. VR	
PU1416	2	2	7	Cat. 2  and Cat. VR	
PU1417	2	2	7	Cat. 2  and Cat. VR	
PU1418	2	2	7	Cat. 2  and Cat. VR	
PU1419	2	2	7	Cat. 2  and Cat. VR	
PU1420	2	2	7	Cat. 2  and Cat. VR	
PU1421	2	2	7	Cat. 2  and Cat. VR	
PU1422	2	2	7	Cat. 2  and Cat. VR	
PU1423	2	2	7	Cat. 2  and Cat. VR	
PU1424	2	2	7	Cat. 2  and Cat. VR	
PU1425	2	2	7	Cat. 2  and Cat. VR	
PU1426	2	2	7	Cat. 2  and Cat. VR	
PU1427	2	2	7	Cat. 2  and Cat. VR	
PU1428	2	2	7	Cat. 2  and Cat. VR	
PU1429	2	2	7	Cat. 2  and Cat. VR	
PU1430	2	2	7	Cat. 2  and Cat. VR	
PU1431	2	2	7	Cat. 2  and Cat. VR	
PU1432	2	2	7	Cat. 2  and Cat. VR	
PU1433	2	2	7	Cat. 2  and Cat. VR	
PU1434	2	2	7	Cat. 2  and Cat. VR	
PU1435	2	2	7	Cat. 2  and Cat. VR	
PU1436	2	2	7	Cat. 2  and Cat. VR	
PU1437	2	2	7	Cat. 2  and Cat. VR	
PU1438	2	2	7	Cat. 2  and Cat. VR	
PU1439	2	2	7	Cat. 2  and Cat. VR	
PU1440	2	2	7	Cat. 2  and Cat. VR	
PU1441	2	2	7	Cat. 2  and Cat. VR	
PU1442	2	2	7	Cat. 2  and Cat. VR	
PU1443	2	2	7	Cat. 2  and Cat. VR	
PU1444	2	2	7	Cat. 2  and Cat. VR	
PU1445	2	2	7	Cat. 2  and Cat. VR	
PU1446	2	2	7	Cat. 2  and Cat. VR	
PU1447	2	2	7	Cat. 2  and Cat. VR	
PU1448	2	2	7	Cat. 2  and Cat. VR	
PU1449	2	2	7	Cat. 2  and Cat. VR	
PU1450	2	2	7	Cat. 2  and Cat. VR	
PU1451	2	2	7	Cat. 2  and Cat. VR	
PU1452	2	2	7	Cat. 2  and Cat. VR	
PU1453	2	2	7	Cat. 2  and Cat. VR	
PU1454	2	2	7	Cat. 2  and Cat. VR	
PU1455	2	2	7	Cat. 2  and Cat. VR	
PU1456	2	2	7	Cat. 2  and Cat. VR	
PU1457	2	2	7	Cat. 2  and Cat. VR	
PU1458	2	2	7	Cat. 2  and Cat. VR	
PU1459	2	2	7	Cat. 2  and Cat. VR	
PU1460	2	2	7	Cat. 2  and Cat. VR	
PU1461	2	2	7	Cat. 2  and Cat. VR	
PU1462	2	2	7	Cat. 2  and Cat. VR	
PU1463	2	2	7	Cat. 2  and Cat. VR	
PU1464	2	2	7	Cat. 2  and Cat. VR	
PU1465	2	2	7	Cat. 2  and Cat. VR	
PU1466	2	2	7	Cat. 2  and Cat. VR	
PU1467	2	2	7	Cat. 2  and Cat. VR	
PU1468	2	2	7	Cat. 2  and Cat. VR	
PU1469	2	2	7	Cat. 2  and Cat. VR	
PU1470	2	2	7	Cat. 2  and Cat. VR	
PU1471	2	2	7	Cat. 2  and Cat. VR	
PU1472	2	2	7	Cat. 2  and Cat. VR	
PU1473	2	2	7	Cat. 2  and Cat. VR	
