# source	forms/Pop Up List HMI R1 (26PI).xlsx
# source_sha256	ff47b7be63e5824cafe35deda9f9ddd0a63f6ea458169ef73689a1c559ea13ea
# baseline	Main!A1 = SR24 Post 2A CR25802
# 母體	Main r3 起，A 欄 ^PU\d，逐列 = 1340
# 類別判準	a: C 欄 strip 後 ^\d+(\.\d+)?$ ／ b: D 欄含 outside（不分大小寫，子字串） ／ c: D|E|G 任一含 keyboard（同上）
# 一列可屬多類；class 欄以 + 併記
row	pu_id	module	timeout_sec	exit_conditions	string_60	class
608	PU0607	Personal Account/Driver Profiles Connected Personal Account	5 seconds	Touch outside of popup, OK, X	"Your Profile has been deleted from the cloud", OK, X	b
609	PU0608	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X, "Yes, Download existing", "No, I'm a new user Proceed with customization"	"Download existing online account or Proceed to customize th	b
610	PU0609	Connected Personal Account\nPersonal Account	5 seconds	Timeout, Touch outside of popup, X	"Setting saved for [username]'s Profile"	b
611	PU0611	Personal Account/Driver Profiles	10 seconds	Timeout, Touch outside of popup,  "Remind me Later", "Don't Show me Again"	"Remind me Later", "Don't Show me Again"	b
612	PU0612	Personal Account/Driver Profiles	N/A	Touch outside of popup, "Yes Keep Current", "No Restore Defaults", X	“Do you want to apply the current preferences to your profil	b
613	PU0613	Personal Account/Driver Profiles	N/A	Touch outside of popup, Yes,  Cancel, X	Text String for Melco:\n\nValet Mode\n\n"Valet Mode will lock ou	b
614	PU0614	Personal Account/Driver Profiles	5 seconds	Timeout, Touch outside of popup, X	"Valet Mode not activated", X	b
615	PU0615	Personal Account/Driver Profiles	N/A	Touch outside of popup, Go, X	"Valet Mode activation PIN; Enter a 4 digit PIN to activate 	b
616	PU0616	Personal Account/Driver Profiles	N/A	Touch outside of popup, Go, X	"Valet Mode deactivation PIN; Enter PIN used for Valet Mode 	b
617	PU0617	Personal Account/Driver Profiles	5 seconds	Timeout, Touch outside of popup, X	"Valet Mode deactivated", X	b
618	PU0618	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X, OK	"Enter the email address associated with your Mopar Cloud Ac	b+c
619	PU0619	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X, OK	"Enter the password associated with your Mopar Cloud Account	b+c
620	PU0620	Personal Account/Driver Profiles Connected Personal Account	5 seconds	Touch outside of popup, X, OK	"An account associated with the email and password you enter	b
621	PU0621	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup,  "Yes, use this Profile", Cancel, X	"Account found. Would you like to load this Profile onto thi	b
622	PU0622	Personal Account/Driver Profiles	5 seconds	Timeout, Touch outside of popup,  OK, Cancel, X	"Your avatar is unavailable on this vehicle. Please choose a	b
623	PU0623	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup,  "Keep Current", "Download from cloud", X	"Do you want to keep the current preferences saved to this v	b
625	PU0625	Notifications	5 seconds	Timeout, Touch outside of popup, X	"You will no longer see that type of Notification.", X	b
627	PU0627	App Store	10 seconds	Timeout, Touch outside of popup, X, Yes	“<App Name> installed. Would you like to open it?” Yes, X	b
628	PU0628	App Store	10 seconds	Timeout, Touch outside of popup, X, Yes	“<App Name> has an update available. Would you like to go to	b
629	PU0629	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X, OK	"Some of your Profile preferences are not compatible with th	b
639	PU0639	Notifications	5 seconds	Timeout, Touch outside of popup, Undo, X	"Your Notifications have all been deleted.", <Undo>, <X>	b
640	PU0640	Notifications	5 seconds	Timeout, Touch outside of popup, Undo, X	"Notification deleted.", <Undo>, <X>	b
641	PU0641	Profiles\nConnected Personal Account	5	Touch outside of popup, OK, X	"Please check your email to confirm and complete the Connect	a+b
642	PU0642	Profiles	N/A	Touch outside of popup, OK, Cancel, X	"There is already an account associated with this email. Wou	b
643	PU0643	Profiles	N/A	<X>\n<Yes>\n<No>, Touch outside of popup	"Do you also want to delete this Profile from the vehicle? "	b
644	PU0644	Profiles	N/A	Save, Cancel, X, Touch outside of popup	"Which Profile do you want to link memory seat position 2 to	b
645	PU0645	Profiles	N/A	Save, Cancel, X, Touch outside of popup	"The maximum number of Profiles have been saved to your onli	b
646	PU0646	Profiles	Up to 10 seconds	X, Touch outside of popup	"Loading [Username]'s Profile. Please Wait.", X	b
671	PU0671	Settings	10	<X>	You can now start a voice session by saying "Hi, Uconnect" b	a
672	PU0672	VR	10	<X>, <Device Manager>	Please start Apple CarPlay to use voice commands.\n[Device Ma	a
673	PU0673	VR	5	<X>	Voice commands are not supported by the connected device.	a
679	PU0679	Nav	5	Timeout\n<Accept>\n<Ignore>\n<x>	Faster Route found\nVia <road name>, time saved\n<Accept>\n<Ign	a
680	PU0680	Nav	5	Timeout\n<view>\n<x>	Speed Camera Ahead\nSpeed Limit <#> <mph/kph>\n<View>\n<x>	a
681	PU0681	Nav	5	Timeout\n<View>\n<Drive>\n<x>	Find nearby gas Station\nLow Fuel Level\n<View>\n<Drive>\n<x>	a
683	PU0683	Passenger Screen	5	Timeout, X	Message Sent to <contact>	a
684	PU0684	Passenger Screen	5	Timeout, X	Message sent to <contact>  End future passenger reply	a
685	PU0685	CVPM	5	Timeout\n<X>	Active ParkSense Unavailable \nShift to Drive to Continue Act	a
686	PU0686	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nService Required\n\nor if FIAT, 	a
687	PU0687	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nFront Sensors Blocked\n\nor if F	a
688	PU0688	CVPM	5	Timeout\n<X>	Active Parksense Unavailable\nRear Sensors Blocked\n\nor if FIA	a
689	PU0689	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nTrailer Detected\n\nor if FIAT, 	a
690	PU0690	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nDoor Open\n\nor if FIAT, ALFA, M	a
691	PU0691	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nLiftgate Open\n\nor if FIAT, ALF	a
692	PU0692	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nSpeed Too High\n\nor if FIAT, AL	a
693	PU0693	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nButton Pressed\n\nor if FIAT, AL	a
694	PU0694	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \n4Low Active\n\nor if FIAT, ALFA,	a
695	PU0695	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nElocker Active\n\nor if FIAT, AL	a
696	PU0696	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nManual Park Required\n\nor if FI	a
697	PU0697	CVPM	5	Timeout\n<X>	Active Parksense Temporarily Unavailable\n\nor if FIAT, ALFA, 	a
698	PU0698	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nParking Space Too Small\n\nor if	a
699	PU0699	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nPedal Pressed \n\nor if FIAT, AL	a
700	PU0700	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nVehicle in Park\n\nor if FIAT, A	a
701	PU0701	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nObstacle Detected\n\nor if FIAT,	a
702	PU0702	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nPark Button Released\n\nor if FI	a
703	PU0703	CVPM	5	Timeout\n<X>	Active Parksense Unavailable \nDriver Seatbelt Not Fastened\n\n	a
704	PU0704	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nService Required\n\nor if FIAT, ALFA	a
705	PU0705	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nHands on Wheel\n\nor if FIAT, ALFA, 	a
706	PU0706	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nFront Sensors Blocked\n\nor if FIAT,	a
707	PU0707	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nRear Sensors Blocked\n\nor if FIAT, 	a
708	PU0708	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nTrailer Detected\n\nor if FIAT, ALFA	a
709	PU0709	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nDoor Open\n\nor if FIAT, ALFA, Maser	a
710	PU0710	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nLiftgate Open\n\nor if FIAT, ALFA, M	a
711	PU0711	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nSpeed Too High\n\nor if FIAT, ALFA, 	a
712	PU0712	CVPM	5	Timeout\n<X>	Active Parksense Cancelled\nButton Pressed\n\nor if FIAT, ALFA,	a
713	PU0713	CVPM	5	Timeout\n<X>	Active Parksense Canceled\n4Low Active\n\nor if FIAT, ALFA, Mas	a
