row	json_tc_id	json_req_id	F_0907	D_0907	n_diff_vs_json	diff_cols_vs_json	diff_noncorpus_cols_vs_rowsort
313	NR1L-ComfortHMI-377	SWE1-HVAC-098	NR1L-ComfortHMI-303	SWE1-HVAC-098	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
314	NR1L-ComfortHMI-461	SWE1-HVAC-099	NR1L-ComfortHMI-304	SWE1-HVAC-099	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
315	NR1L-ComfortHMI-184	SWE1-HVAC-100-01	NR1L-ComfortHMI-305	SWE1-HVAC-100-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
316	NR1L-ComfortHMI-185	SWE1-HVAC-100-02	NR1L-ComfortHMI-306	SWE1-HVAC-100-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
317	NR1L-ComfortHMI-186	SWE1-HVAC-100-03	NR1L-ComfortHMI-307	SWE1-HVAC-100-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
318	NR1L-ComfortHMI-187	SWE1-HVAC-101-01	NR1L-ComfortHMI-308	SWE1-HVAC-101-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
319	NR1L-ComfortHMI-188	SWE1-HVAC-101-02	NR1L-ComfortHMI-309	SWE1-HVAC-101-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
320	NR1L-ComfortHMI-189	SWE1-HVAC-101-03	NR1L-ComfortHMI-310	SWE1-HVAC-101-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
321	NR1L-ComfortHMI-190	SWE1-HVAC-102	NR1L-ComfortHMI-311	SWE1-HVAC-102	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
322	NR1L-ComfortHMI-191	SWE1-HVAC-103-01	NR1L-ComfortHMI-312	SWE1-HVAC-103-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
323	NR1L-ComfortHMI-192	SWE1-HVAC-103-02	NR1L-ComfortHMI-313	SWE1-HVAC-103-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
324	NR1L-ComfortHMI-410	SWE1-HVAC-103-02	NR1L-ComfortHMI-314	SWE1-HVAC-103-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
325	NR1L-ComfortHMI-193	SWE1-HVAC-104-01	NR1L-ComfortHMI-315	SWE1-HVAC-104-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
326	NR1L-ComfortHMI-194	SWE1-HVAC-104-02	NR1L-ComfortHMI-316	SWE1-HVAC-104-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
327	NR1L-ComfortHMI-195	SWE1-HVAC-104-03	NR1L-ComfortHMI-317	SWE1-HVAC-104-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
328	NR1L-ComfortHMI-196	SWE1-HVAC-104-04	NR1L-ComfortHMI-318	SWE1-HVAC-104-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
