feature	n	family	key	hit_rows	query
time_management	4	HMI Settings List	Driver Attention Assist Sensitivity|p		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Blind Spot Alert*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Active Blind Spot Assist		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Active Blind Spot Assist Warning Mode		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Active Blind Spot Assist Sensitivity		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Active Blind Spot Assist Strength		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Active Blind Spot Assist Mode		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Active Blind Spot Assist Warning type		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Active Blind Spot Assist Keeping sensitivity		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Lane Management		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
