tc_id	req_id	outline	score	sent_idx	clause_verbatim
NR1L-ComfortHMI-457	SWE1-HVAC-018-06	2.12.2	1.00	5	While in Rear Climate screen the Mode Hard Control button will alter the front Mode.
NR1L-ComfortHMI-152	SWE1-HVAC-019-01	2.13	1.00	1	MAX A/C has an on/off state that is indicated on climate screen (highlight button if on).
NR1L-ComfortHMI-458	SWE1-HVAC-019-02	2.13	1.00	2	MAX A/C modifies multiple climate parameters.
NR1L-ComfortHMI-043	SWE1-HVAC-020-01	2.14	1.00	1	"MTC climate is primarily differentiated from ATC by the lack of discrete temperature settings and ""Auto"" control over the set temperature."
NR1L-ComfortHMI-044	SWE1-HVAC-020-02	2.14	1.00	1	"MTC climate is primarily differentiated from ATC by the lack of discrete temperature settings and ""Auto"" control over the set temperature."
NR1L-ComfortHMI-045	SWE1-HVAC-020-03	2.14	1.00	2	For MTC with ICS, there will be no redundant interaction with the screen for certain types of physical knobs (3 knob HVAC controls) in order to prevent a mismatch between the soft and hard controls.
NR1L-ComfortHMI-046	SWE1-HVAC-020-04	2.14	1.00	3	In these cases, no HVAC menu bar icons, no HVAC screens and no HVAC pop ups will be displayed.
NR1L-ComfortHMI-047	SWE1-HVAC-020-04	2.14	1.00	3	In these cases, no HVAC menu bar icons, no HVAC screens and no HVAC pop ups will be displayed.
NR1L-ComfortHMI-165	SWE1-HVAC-021-01	2.15	1.00	0	C16.) EXTERIOR REAR-VIEW MIRROR DEFROST has on/ off state.
NR1L-ComfortHMI-166	SWE1-HVAC-021-02	2.15	1.00	1	EXTERIOR REAR-VIEW MIRROR DEFROST is independent of any other climate functions.
NR1L-ComfortHMI-064	SWE1-HVAC-022-01	2.16	1.00	0	C18.) If blower reduction occurs automatically due to an active Voice Recognition session, the change in fan speed is not displayed to the user.
NR1L-ComfortHMI-065	SWE1-HVAC-022-02	2.16	1.00	1	After blower reduction, return blower speed to previous speed without showing a change in fan speed.
NR1L-ComfortHMI-015	SWE1-HVAC-023-01	3.1	1.00	0	C19) Tri-Mode Climate: On vehicles with Tri-Mode climate, there are 3 airflow mode buttons (Windshield, Face, Feet) on the Tri-Mode Climate screen.
NR1L-ComfortHMI-397	SWE1-HVAC-023-01	3.1	1.00	0	C19) Tri-Mode Climate: On vehicles with Tri-Mode climate, there are 3 airflow mode buttons (Windshield, Face, Feet) on the Tri-Mode Climate screen.
NR1L-ComfortHMI-398	SWE1-HVAC-023-01	3.1	1.00	0	C19) Tri-Mode Climate: On vehicles with Tri-Mode climate, there are 3 airflow mode buttons (Windshield, Face, Feet) on the Tri-Mode Climate screen.
NR1L-ComfortHMI-016	SWE1-HVAC-023-02	3.1	1.00	2	Pressing the hard control MODE button will cycle through all MODE combinations (repeating the process so it loops at the end of each cycle).
NR1L-ComfortHMI-017	SWE1-HVAC-023-03	3.1	0.84	5	Toggling UP (or RIGHT) moves forward in the order and toggling DOWN (or LEFT) moves backwards through the cycle.
NR1L-ComfortHMI-399	SWE1-HVAC-023-03	3.1	0.84	5	Toggling UP (or RIGHT) moves forward in the order and toggling DOWN (or LEFT) moves backwards through the cycle.
NR1L-ComfortHMI-018	SWE1-HVAC-024-01	3.2	1.00	0	C20.) MAX DEFROST: On vehicles with MAX DEF, MAX DEF replaces FRONT DEF button.
NR1L-ComfortHMI-019	SWE1-HVAC-024-02	3.2	1.00	1	MAX DEF automatically turns on A/C, changes airflow modes to Windshield, increases fan speed to highest setting (7/7), sets temperature (driver and passenger if available) at highest setting (HI), change RECIRC to open (LED off), turns on Sync and activates the REAR DEFROST.
NR1L-ComfortHMI-020	SWE1-HVAC-024-03	3.2	1.00	2	MAX DEF switches off automatically after a set time after which the system goes back to the previous manual mode.
