leaf_id	layer2	layer3	writable	delegate	generatable	stable_core	blocked_layer	blocked_ref	blocker
SWE1-VC-HeatedSteeringWheelManagement-034	Heated Steering Wheel	HeatedSteeringWheelManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-HeatedSteeringWheelManagement-035	Heated Steering Wheel	HeatedSteeringWheelManagement	yes	blocked	no	no			delegate=blocked
SWE1-VC-LeftFrontHeatedSeat-003	Heated Seat	LeftFrontHeatedSeat	yes	yes	yes	yes			
SWE1-VC-LeftFrontHeatedSeat-004	Heated Seat	CrossZone Common	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontHeatedSeat-005	Heated Seat	LeftFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontHeatedSeat-006	Heated Seat	LeftFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontHeatedSeat-007	Heated Seat	LeftFrontHeatedSeat	yes	yes	yes	yes			
SWE1-VC-LeftFrontHeatedSeat-008	Heated Seat	LeftFrontHeatedSeat	yes	yes	yes	yes			
SWE1-VC-LeftFrontHeatedSeat-009	Heated Seat	LeftFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontHeatedSeat-010	Heated Seat	LeftFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontHeatedSeat-011	Heated Seat	CrossZone Common	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontHeatedSeat-012	Heated Seat	LeftFrontHeatedSeat	yes	yes	yes	yes			
SWE1-VC-LeftFrontHeatedSeat-013	Heated Seat	LeftFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontHeatedSeat-014	Heated Seat	LeftFrontHeatedSeat	yes	yes	yes	yes			
SWE1-VC-LeftFrontHeatedSeat-015	Heated Seat	LeftFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontHeatedSeat-016	Heated Seat	LeftFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontHeatedSeat-017	Heated Seat	LeftFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontHeatedSeat-018	Heated Seat	LeftFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontHeatedSeat-019	Heated Seat	LeftFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontVentedSeat-003	Vented Seat	LeftFrontVentedSeat	yes	yes	yes	yes			
SWE1-VC-LeftFrontVentedSeat-004	Vented Seat	LeftFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontVentedSeat-005	Vented Seat	LeftFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontVentedSeat-006	Vented Seat	LeftFrontVentedSeat	yes	yes	yes	yes			
SWE1-VC-LeftFrontVentedSeat-007	Vented Seat	LeftFrontVentedSeat	yes	yes	yes	yes			
SWE1-VC-LeftFrontVentedSeat-008	Vented Seat	LeftFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontVentedSeat-009	Vented Seat	LeftFrontVentedSeat	no	yes	no	no			writable=B2
