source	kind	target	line_sha8	line	reason
features/vehicle_setting/docs/INDEX.md	section	§8.7	d2763fcf	3	active-backlog
features/vehicle_setting/docs/handoff/00_intake_and_rulings.md	section	§1	f58da8ad	189	historical-record
features/vehicle_setting/docs/handoff/04_review_round01.md	section	§2	3958c5cf	6	historical-record
features/vehicle_setting/docs/handoff/07_review_round02.md	section	§8.2	b64ef495	160	historical-record
features/vehicle_setting/docs/handoff/V03_test_group_ruling.md	section	§2	07e50318	60	historical-record
features/vehicle_setting/docs/handoff/V20_pilot1_review.md	section	§7	343e2b70	107	historical-record
features/vehicle_setting/docs/handoff/V20_pilot1_review.md	section	§8	0a5158a4	296	historical-record
features/vehicle_setting/docs/handoff/V33_number_hygiene_wvf71.md	section	§8.7	ea545667	39	historical-record
features/vehicle_setting/docs/reports/036_baseline.md	section	§2	d8de6c16	41	active-backlog
features/vehicle_setting/docs/upstream/00_intake_and_rulings.md	section	§8.4	5518ecb3	209	historical-record
features/vehicle_setting/docs/upstream/01_leaf_universe.md	section	§8.4	7f99e589	121	historical-record
features/vehicle_setting/docs/upstream/02_variables_and_sweep.md	section	§8.4	5518ecb3	119	historical-record
features/vehicle_setting/docs/upstream/03_crosscheck_and_overlap.md	section	§8.4	5518ecb3	104	historical-record
features/vehicle_setting/docs/upstream/04_extraction_and_overlap.md	section	§8.4	5518ecb3	78	historical-record
features/vehicle_setting/docs/upstream/05_parser_fix_and_residual.md	section	§8.4	5518ecb3	126	historical-record
features/vehicle_setting/docs/upstream/06_comfort_overlap.md	section	§8.4	5518ecb3	63	historical-record
features/vehicle_setting/docs/upstream/07_residual_verification.md	section	§8.4	5518ecb3	133	historical-record
features/vehicle_setting/docs/upstream/08_polarity_and_delegation.md	section	§8.4	5518ecb3	123	historical-record
features/vehicle_setting/docs/upstream/09_reverse_coverage.md	section	§8.4	5518ecb3	136	historical-record
features/vehicle_setting/docs/upstream/10_criterion_and_framework.md	section	§8.2	a2ed214a	4	historical-record
features/vehicle_setting/docs/upstream/10_criterion_and_framework.md	section	§8.4	5518ecb3	163	historical-record
features/vehicle_setting/docs/upstream/11_arch_scope.md	section	§8.2	406ca1b1	3	historical-record
features/vehicle_setting/docs/upstream/11_arch_scope.md	section	§8.4	5518ecb3	175	historical-record
features/vehicle_setting/docs/upstream/12_layer3_and_convergence.md	section	§8.2	b157fe46	3	historical-record
features/vehicle_setting/docs/upstream/12_layer3_and_convergence.md	section	§8.4	5518ecb3	155	historical-record
features/vehicle_setting/docs/upstream/13_contamination_and_symmetry.md	section	§8.2	437ed628	3	historical-record
features/vehicle_setting/docs/upstream/13_contamination_and_symmetry.md	section	§8.4	5518ecb3	166	historical-record
features/vehicle_setting/docs/upstream/14_normalization_and_lock.md	section	§8.2	05432fbe	3	historical-record
features/vehicle_setting/docs/upstream/14_normalization_and_lock.md	section	§8.4	5518ecb3	189	historical-record
features/vehicle_setting/docs/upstream/15_pilot_batch.md	section	§8.2	697e10ee	3	historical-record
features/vehicle_setting/docs/upstream/15_pilot_batch.md	section	§9	295ffdae	45	historical-record
features/vehicle_setting/docs/upstream/15_pilot_batch.md	section	§8.4	5518ecb3	179	historical-record
features/vehicle_setting/docs/upstream/16_batch01_rework.md	section	§8.2	055a39b2	3	historical-record
features/vehicle_setting/docs/upstream/16_batch01_rework.md	section	§9	db4ac1cd	51	historical-record
features/vehicle_setting/docs/upstream/16_batch01_rework.md	section	§8.4	5518ecb3	129	historical-record
features/vehicle_setting/docs/upstream/17_batch01_v3_and_batch02.md	section	§8.2	9cc2c491	3	historical-record
features/vehicle_setting/docs/upstream/17_batch01_v3_and_batch02.md	section	§8.4	5518ecb3	151	historical-record
features/vehicle_setting/docs/upstream/18_writability.md	section	§8.2	2e4f73a6	3	historical-record
features/vehicle_setting/docs/upstream/18_writability.md	section	§8.4	5518ecb3	185	historical-record
