# R-G22′ 遷移對照（下放包 57 T69a）：既有引用之 sha8 為舊式（含成因段），改制後 R-G13 之比對一律用 body_sha8。`same=Y` 者其引用不受影響。
ruling_id	old_sha8	new_body_sha8	same	body_kind	source
R-PMH78	9107f8fa	9c193ffb	N	fenced	features/power_moding/RULINGS.md
R-PMH79	5a93a636	2434c2ce	N	fenced	features/power_moding/RULINGS.md
R-PMH80	cd270c53	f680f9dd	N	fenced	features/power_moding/RULINGS.md
R-PMH81	a4f9b7a5	7c6a15c0	N	fenced	features/power_moding/RULINGS.md
R-PMH82	41f679ca	8c412360	N	fenced	features/power_moding/RULINGS.md
R-PMH83	51c583ed	264be045	N	fenced	features/power_moding/RULINGS.md
R-PMH84	7de0f807	3eb154d9	N	fenced	features/power_moding/RULINGS.md
R-PMH85	c26f7f63	9ec1d352	N	fenced	features/power_moding/RULINGS.md
R-PMH86	1ffe6745	9b5b226e	N	fenced	features/power_moding/RULINGS.md
R-PMH88	81bd6a88	1feb1c55	N	fenced	features/power_moding/RULINGS.md
R-PMH89	b0cef039	95189413	N	fenced	features/power_moding/RULINGS.md
R-PMH90	87ab0185	319bfcb8	N	fenced	features/power_moding/RULINGS.md
R-PMH91	5bcb819f	cb23dff4	N	fenced	features/power_moding/RULINGS.md
R-PMH92	43ce7565	3484fcee	N	fenced	features/power_moding/RULINGS.md
R-PMH93	e2897ffc	713a8ff0	N	fenced	features/power_moding/RULINGS.md
R-PMH94	2e37cb92	d325186a	N	fenced	features/power_moding/RULINGS.md
R-PMH95	f083bedb	d4a8dad7	N	fenced	features/power_moding/RULINGS.md
R-PMH96	a1830e40	292f12b3	N	fenced	features/power_moding/RULINGS.md
R-PMH97	3b322d80	831a17ff	N	fenced	features/power_moding/RULINGS.md
R-PMH98	43fcbd1b	ac0769de	N	fenced	features/power_moding/RULINGS.md
R-PMH99	5b27e96a	9ac724e2	N	fenced	features/power_moding/RULINGS.md
R-PMH100	b1fd0d80	5ca9d19a	N	fenced	features/power_moding/RULINGS.md
R-PMH101	f0c1cf29	74ca2350	N	fenced	features/power_moding/RULINGS.md
R-PMH102	ca57e6bd	979ad496	N	fenced	features/power_moding/RULINGS.md
R-PMH103	81df1fbe	fb29dcf1	N	fenced	features/power_moding/RULINGS.md
R-PMH104	a9e59d80	7703ef72	N	fenced	features/power_moding/RULINGS.md
R-PMH105	117987a5	02dc138b	N	fenced	features/power_moding/RULINGS.md
R-PMH106	c1043f15	5cf4d7b8	N	fenced	features/power_moding/RULINGS.md
R-PMH107	64a75b97	686a8540	N	fenced	features/power_moding/RULINGS.md
R-PMH108	8be8d0b7	75b78b24	N	fenced	features/power_moding/RULINGS.md
R-PMH109	1803b643	16549ae7	N	fenced	features/power_moding/RULINGS.md
R-PMH110	854fceac	7b0381c2	N	fenced	features/power_moding/RULINGS.md
R-PMH111	3457565b	752424dc	N	fenced	features/power_moding/RULINGS.md
R-PMH112	decf346b	57006a5f	N	fenced	features/power_moding/RULINGS.md
R-PMH113	b8f38ac9	3e2af81b	N	fenced	features/power_moding/RULINGS.md
R-PMH114	d9f02243	5eb25eb6	N	fenced	features/power_moding/RULINGS.md
R-PMH115	352a985f	214a2a4f	N	fenced	features/power_moding/RULINGS.md
R-PMH116	dae6614f	8407c130	N	fenced	features/power_moding/RULINGS.md
R-PMH117	5ad90e72	2a784928	N	fenced	features/power_moding/RULINGS.md
R-PMH118	7e42092d	d2209cd0	N	fenced	features/power_moding/RULINGS.md
R-PMH119	3c218744	cf977c9f	N	fenced	features/power_moding/RULINGS.md
R-PMH120	f834ab1f	f134ec9f	N	fenced	features/power_moding/RULINGS.md
R-PMH121	3cbb630e	db53f47a	N	fenced	features/power_moding/RULINGS.md
R-PMH122	4c546a77	51344868	N	fenced	features/power_moding/RULINGS.md
R-PMH123	d73afb0f	9b789e48	N	fenced	features/power_moding/RULINGS.md
R-PMH124	3a7828d5	ee6c5e2d	N	fenced	features/power_moding/RULINGS.md
R-PMH125	9ec0e1f4	884aaaeb	N	fenced	features/power_moding/RULINGS.md
R-PMH126	3953fd3e	c2019105	N	fenced	features/power_moding/RULINGS.md
R-PMH127	41a1a980	80221a14	N	fenced	features/power_moding/RULINGS.md
R-PMH128	d17cf98e	5fed9ab8	N	fenced	features/power_moding/RULINGS.md
R-PMH129	721e83c3	cb6ab41e	N	fenced	features/power_moding/RULINGS.md
