lid	sheet	row	function	atlantis_high_signal	atlantis_high_can	atlantis_high_format	atlantis_signal	atlantis_can	atlantis_format	usage_comment	group_label_at_15	flags
ASBM4_Climate_btn_11	CAN Mapping	0	Front Left Temp Down ASBM4_Climate_btn_11 for temperature pop-up	BCM_ASBM4.Climate_button_11	BH	See DBC					Atlantis	
ASBM4_Climate_btn_12	CAN Mapping	0	Front Right Temp UP ASBM4_Climate_btn_12 for temperature pop-up	BCM_ASBM4.Climate_button_12	BH	See DBC					Atlantis	
ASBM4_Climate_btn_13	CAN Mapping	0	Front Right Temp UP ASBM4_Climate_btn_13 for temperature pop-up	BCM_ASBM4.Climate_button_13	BH	See DBC					Atlantis	
ASBM4_Climate_btn_14	CAN Mapping	0	Front Blower Up	BCM_ASBM4.Climate_button_14	BH	See DBC					Atlantis	
ASBM4_Climate_btn_15	CAN Mapping	0	Front Blower Down	BCM_ASBM4.Climate_button_15	BH	See DBC					Atlantis	
ASBM4_Climate_btn_20	CAN Mapping	0	Front Mode Toggle	BCM_ASBM4.Climate_button_20	BH	See DBC					Atlantis	
ASC_DrvMd_CfgSts	CAN Mapping	0		BCM_FD_26.ASC_DrvMd_CfgSts_TMI	FD	0 - DEFAULT 1 - DM1 2 - DM2 3 - DM3 4 - MODE_1 5 - MODE_2 6 - MODE_3 7 - SNA				As of V1.54, message.signal name requested. Actual name may vary.	Atlantis	
ASC_MODE_REQ	CAN Mapping	0		TELEMATIC_FD_15.ETM_ASC_MODE_REQ	FD	0 - DEFAULT 1 - DM1 2 - DM2 3 - DM3 4 - MODE_1 5 - MODE_2 6 - MODE_3 7 - SNA				As of V1.54, message.signal name requested. Actual name may vary.	Atlantis	
ASCM_SysFail	CAN Mapping	0	ASCM System Fail	ASCM_FD_2.ASCM_SysFail	FD	0 = FALSE 1 = TRUE	AIR_SUSP_2.ASCM_SysFail		1 bit 0 = not fail 1 = Fail		Atlantis	
ASRActive	CAN Mapping	0	ASR functionality	BRAKE_FD_4.ASRActive	FD	Atlantis 1 bit signal 0 = Not_active 1 = Active	BRAKE7.ASRActive		Atlantis 1 bit signal 0 = Not_active 1 = Active		Atlantis	
ATMPressure	CAN Mapping	0	ATMPressure								Atlantis	
Audible_Warning	CAN Mapping	0		<pending>.Audible_Warning	FD					Message pending	Atlantis	
Audible_Warning_Sts	CAN Mapping	0		<pending>.Audible_Warning_Sts	FD					Message pending	Atlantis	
Audio_Range_Impact	CAN Mapping	0		<pending>.Audio_Range_Impact	FD					Message pending	Atlantis	
AudioBattHigh	CAN Mapping	0	Audio System Battery Voltage High indication				N/A		N/A		Atlantis	ATL_HIGH_EMPTY
AudioBattLow	CAN Mapping	0	Audio System Battery Voltage Low indication				N/A		N/A		Atlantis	ATL_HIGH_EMPTY
AudioDiagDisable	CAN Mapping	0	Audio System Disable Diagnostics indication				N/A		N/A		Atlantis	ATL_HIGH_EMPTY
AudioMenuPopup	CAN Mapping	0		IPC_FD_11.AudioMenuPopup	FD	0 = Not_Active 1 = Active	CLUSTER3.AudioMenuPopup		0=Not Active 1=Active		Atlantis	
AudioMuteReq	CAN Mapping	0									Atlantis	
AudioReq	CAN Mapping	0					STATUS_TBM.AudioRequest				Atlantis	ATL_HIGH_EMPTY
AUTO_MD_SW_RQ	CAN Mapping	0		TELEMATIC_FD_5.AUTO_MD_SW_RQ	FD	1 bit signal	TELEMATIC_CLIMATE_SETUP.HVACAuto_Req				Atlantis	
AUTO_MD_SW_RQ_2_M	CAN Mapping	0	AUTO mode toggle request 2 (AUTO Right Softkey)	TGW_HVAC_CTRL_M.AUTO_MD_SW_RQ_2_M			TGW_HVAC_CTRL_M.AUTO_MD_SW_RQ_2_M			Atlantis for M240 Atlantis-High for M240BEV	Atlantis	
AUTO_MD_SW_RQ_M	CAN Mapping	0	AUTO mode toggle request	TGW_HVAC_CTRL_M.AUTO_MD_SW_RQ_M			TGW_HVAC_CTRL_M.AUTO_MD_SW_RQ_M			Atlantis for M240 Atlantis-High for M240BEV	Atlantis	
Auto_Oil_Chg	CAN Mapping	0	Auto oil Change							AutoOilChange	Atlantis	
Auto_Stat	CAN Mapping	0	Automatic temperature control status	STATUS_CLIMATE2.HVACAuto_Sts	CAN-B	ATLANTIS 0 = OFF 1 = ON 2 = BLINK 3 = SNA	STATUS_CLIMATE2.HVACAuto_Sts		ATLANTIS 0 = OFF 1 = ON 2 = BLINK 3 = SNA		Atlantis	
Auto_Stat_2	CAN Mapping	0	Automatic temperature control status 2	HVAC_A1.AUTO_STAT_2			HVAC_A1.AUTO_STAT_2			Atlantis for M240 Atlantis-High for M240BEV	Atlantis	
