lid	sheet	row	scope	message	signal	can	fmt
ShiftLeverPositionReq	CAN Mapping	1687	Atlantis High	ENGINE_SIMULATOR4	ShiftLeverPositionReq_PT1	FD	0 No_Selection_Active_Or_Available\n1 P\n2 R\n3 N\n4 D\n5 L\n6 TIP_Autostick\n7 Plus\n8 Minus\n9 Sport\nF SNA
SmartKeyDel_Stat	CAN Mapping	1688	Atlantis High	SPAAK_FD	SmartKeyDel_Stat1	FD	See dbc
SMMD_Backbolster_Sts	CAN Mapping	1689	Atlantis High	MASSAGE_DRIVER	SMMD_Backbolster_Sts	B-CAN	0 = Not Min Not Max\n1 = Min\n2 = Max
SMMD_LumbarInOut_Sts	CAN Mapping	1690	Atlantis High	MASSAGE_DRIVER	SMMD_LumbarInOut_Sts	B-CAN	0 = Not Min Not Max\n1 = Min\n2 = Max
SMMD_LumbarUpDown_Sts	CAN Mapping	1691	Atlantis High	MASSAGE_DRIVER	SMMD_LumbarUpDown_Sts	B-CAN	0 = Not Min Not Max\n1 = Min\n2 = Max
SMMD_ThighBolster_Sts	CAN Mapping	1692	Atlantis High	MASSAGE_DRIVER	SMMD_ThighBolster_Sts	B-CAN	0 = Not Min Not Max\n1 = Min\n2 = Max
SMMP_Backbolster_Sts	CAN Mapping	1693	Atlantis High	MASSAGE_PASS	SMMP_Backbolster_Sts	B-CAN	0 = Not Min Not Max\n1 = Min\n2 = Max
SMMP_LumbarInOut_Sts	CAN Mapping	1694	Atlantis High	MASSAGE_PASS	SMMP_LumbarInOut_Sts	B-CAN	0 = Not Min Not Max\n1 = Min\n2 = Max
SMMP_LumbarUpDown_Sts	CAN Mapping	1695	Atlantis High	MASSAGE_PASS	SMMP_LumbarUpDown_Sts	B-CAN	0 = Not Min Not Max\n1 = Min\n2 = Max
SMMP_ThighBolster_Sts	CAN Mapping	1696	Atlantis High	MASSAGE_PASS	SMMP_ThighBolster_Sts	B-CAN	0 = Not Min Not Max\n1 = Min\n2 = Max
SOC_Max_Lev	CAN Mapping	1698	Atlantis High	IPC_VEHICLE_SETUP	SOC_Max_Lev	FD	See dbc file
SOC_Max_Lev_Req	CAN Mapping	1699	Atlantis High	TELEMATIC_VEHICLE_SETUP	SOC_Max_Lev_Req	FD	See dbc file
SOC_Max_Lev_Req	CAN Mapping	1699	Atlantis High	TBM_SCHEDULE_FD_1	SOC_Max_Lev_Rem_Req		See dbc file
SOSCallStatus	CAN Mapping	1700	Atlantis(&High)	STATUS_TBM	SOSCallStatus	CAN_BH	0=No_Indication\n1=Sos_Battery_Fail\n2=Sos_Fail\n3=Sos_Call_Ended\n4=Sos_Call_Establish\n5=Starting_SOS_Fail\n6=Incoming_SOS_Call\n7=Starting_SOS_1_Phase\n8=Starting_SOS_2_Phase\n9=Starting_SOS_Auto\n10=SOS_Low_Battery 
SOSCallType	CAN Mapping	1701	Atlantis High	STATUS_TBM	SOSCallType	CAN-B	0 = Initialization\n1 = No_active_SOS_call\n2 = Manual_SOS_call\n3 = Automatic_SOS_call\n4 = Callback_SOS_call\n5 = Callback_wait
SOSFailSts	CAN Mapping	1702	Atlantis High	TBM_SCHEDULE_FD_2	SOSFailSts	FD	See dbc
SPAAK_Error_NTF	CAN Mapping	1703	Atlantis High	SPAAK_FD	SPAAK_Error_NTF	FD	See dbc
SPAAK_Key_FriendlyNameChar1	CAN Mapping	1704	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar1	FD	See dbc
SPAAK_Key_FriendlyNameChar10	CAN Mapping	1705	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar10	FD	See dbc
SPAAK_Key_FriendlyNameChar11	CAN Mapping	1706	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar11	FD	See dbc
SPAAK_Key_FriendlyNameChar12	CAN Mapping	1707	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar12	FD	See dbc
SPAAK_Key_FriendlyNameChar13	CAN Mapping	1708	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar13	FD	See dbc
SPAAK_Key_FriendlyNameChar14	CAN Mapping	1709	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar14	FD	See dbc
SPAAK_Key_FriendlyNameChar15	CAN Mapping	1710	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar15	FD	See dbc
SPAAK_Key_FriendlyNameChar16	CAN Mapping	1711	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar16	FD	See dbc
SPAAK_Key_FriendlyNameChar17	CAN Mapping	1712	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar17	FD	See dbc
SPAAK_Key_FriendlyNameChar18	CAN Mapping	1713	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar18	FD	See dbc
SPAAK_Key_FriendlyNameChar19	CAN Mapping	1714	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar19	FD	See dbc
SPAAK_Key_FriendlyNameChar2	CAN Mapping	1715	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar2	FD	See dbc
